Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City,Price_Category,Area_Category,Price_per_sqm,in_Compound,Immediate_Move
Duplex,4000000.0,3.0,3.0,400.0,No,7.0,Unknown,Cash,0.0,Finished,Nasr City,Premium,Very Large,10000.0,0,1
Apartment,4000000.0,3.0,3.0,160.0,No,10.0,Unknown,Cash,0.0,Finished,Camp Caesar,Premium,Medium,25000.0,0,1
Apartment,2250000.0,3.0,2.0,165.0,No,1.0,Unknown,Cash,0.0,Finished,Smoha,Premium,Large,13636.363636363636,0,1
Apartment,1900000.0,3.0,2.0,230.0,No,10.0,Unknown,Cash,0.0,Finished,Nasr City,Premium,Large,8260.869565217392,0,1
Apartment,1844900.0,4.0,3.0,222.0,No,1.0,Beit Al Watan,Cash or Installment,36.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,8310.36036036036,1,0
Duplex,3900000.0,5.0,5.0,290.0,No,10.0,Jayd,Unknown Payment,0.0,Finished,New Cairo - El Tagamoa,Premium,Very Large,13448.275862068966,1,1
Apartment,1650000.0,2.0,2.0,144.0,No,1.0,Zayed 2000,Unknown Payment,0.0,Finished,Sheikh Zayed,Premium,Medium,11458.333333333334,1,1
Apartment,1560000.0,3.0,3.0,200.0,Unknown,0.0,Unknown,Unknown Payment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,7800.0,0,1
Apartment,992800.0,3.0,2.0,146.0,Unknown,3.0,Unknown,Cash or Installment,36.0,Semi Finished,New Cairo - El Tagamoa,Standard,Medium,6800.0,0,0
Apartment,309825.0,4.0,3.0,153.0,No,1.0,Beit Al Watan,Cash or Installment,36.0,Semi Finished,New Cairo - El Tagamoa,Budget,Medium,2025.0,1,0
Apartment,1150000.0,3.0,2.0,165.0,No,2.0,Unknown,Cash,0.0,Finished,Shorouk City,Standard,Large,6969.69696969697,0,1
Apartment,550000.0,2.0,1.0,94.0,No,2.0,Unknown,Cash,0.0,Finished,Smoha,Standard,Small,5851.063829787234,0,1
Apartment,2600000.0,3.0,2.0,140.0,Yes,10.0,Unknown,Cash or Installment,0.0,Finished,Sidi Beshr,Premium,Medium,18571.428571428572,0,1
Apartment,800000.0,2.0,1.0,130.0,No,3.0,Unknown,Cash,0.0,Finished,Gesr Al Suez,Standard,Medium,6153.846153846154,0,1
Apartment,480000.0,3.0,3.0,167.0,Unknown,3.0,90 Avenue,Cash or Installment,6.0,Finished,New Cairo - El Tagamoa,Budget,Large,2874.251497005988,1,0
Penthouse,975000.0,4.0,2.0,229.0,No,4.0,Unknown,Cash,0.0,Semi Finished,Mokattam,Standard,Large,4257.6419213973795,0,1
Apartment,143000.0,1.0,1.0,71.0,No,1.0,Armonia,Cash or Installment,48.0,Semi Finished,New Capital City,Budget,Small,2014.0845070422536,1,0
Apartment,1600000.0,3.0,2.0,220.0,No,9.0,Unknown,Cash or Installment,0.0,Core & Shell,Nasr City,Premium,Large,7272.727272727273,0,1
Duplex,1100000.0,3.0,2.0,165.0,Unknown,0.0,Unknown,Installment,24.0,Semi Finished,New Damietta,Standard,Large,6666.666666666667,0,0
Apartment,820000.0,3.0,3.0,184.0,Unknown,1.0,Palm Hills New Cairo,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Standard,Large,4456.521739130435,1,1
Apartment,2350000.0,3.0,3.0,178.0,No,2.0,La Mirada,Cash,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,13202.247191011236,1,1
Apartment,1050000.0,3.0,1.0,108.0,No,3.0,Maadi V,Cash or Installment,24.0,Semi Finished,Zahraa Al Maadi,Standard,Small,9722.222222222223,1,0
Apartment,1500000.0,3.0,2.0,136.0,No,3.0,One Kattameya,Cash,0.0,Not Finished,Nasr City,Standard,Medium,11029.411764705883,1,1
Apartment,2100000.0,3.0,2.0,168.0,No,3.0,Gardenia,Cash,0.0,Finished,6th of October,Premium,Large,12500.0,1,1
Apartment,1730000.0,3.0,2.0,160.0,No,7.0,Unknown,Unknown Payment,0.0,Unknown ,Smoha,Premium,Medium,10812.5,0,1
Apartment,1615000.0,3.0,2.0,190.0,No,3.0,Unknown,Cash or Installment,3.0,Not Finished,Mansura,Premium,Large,8500.0,0,0
Apartment,810000.0,3.0,2.0,127.0,No,2.0,Unknown,Cash,0.0,Semi Finished,Shorouk City,Standard,Medium,6377.952755905511,0,1
Apartment,1500000.0,3.0,2.0,155.0,No,2.0,Unknown,Cash or Installment,24.0,Semi Finished,New Cairo - El Tagamoa,Standard,Medium,9677.41935483871,0,0
Apartment,1040000.0,3.0,3.0,164.0,No,0.0,Unknown,Installment,36.0,Semi Finished,New Heliopolis,Standard,Large,6341.463414634146,0,0
Apartment,975000.0,2.0,2.0,121.0,No,4.0,The Pearl,Cash or Installment,36.0,Semi Finished,Kafr al-Sheikh City,Standard,Medium,8057.851239669421,1,0
Apartment,599000.0,3.0,2.0,145.0,No,2.0,Unknown,Cash or Installment,0.0,Finished,Badr City,Standard,Medium,4131.0344827586205,0,1
Apartment,970669.0,3.0,2.0,163.0,No,1.0,Unknown,Installment,0.0,Semi Finished,Shorouk City,Standard,Large,5955.0245398773,0,1
Duplex,6095000.0,4.0,5.0,246.0,No,0.0,Village West,Unknown Payment,36.0,Finished,Sheikh Zayed,Luxury,Large,24776.422764227642,1,0
Duplex,590000.0,4.0,2.0,238.0,No,0.0,Unknown,Cash or Installment,3.0,Not Finished,New Cairo - El Tagamoa,Standard,Large,2478.9915966386557,0,0
Apartment,720000.0,1.0,1.0,90.0,No,2.0,Midtown Sky,Cash or Installment,48.0,Semi Finished,New Capital City,Standard,Small,8000.0,1,0
Apartment,3100000.0,3.0,2.0,200.0,Unknown,1.0,Unknown,Installment,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,15500.0,0,1
Apartment,1368000.0,3.0,3.0,169.0,No,0.0,Unknown,Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Standard,Large,8094.674556213018,0,1
Apartment,550000.0,2.0,2.0,75.0,No,9.0,2020 Compound,Cash or Installment,0.0,Semi Finished,Imbaba,Standard,Small,7333.333333333333,1,1
Apartment,550000.0,3.0,1.0,90.0,No,2.0,Unknown,Cash,0.0,Finished,Gamasa,Standard,Small,6111.111111111111,0,1
Duplex,1100000.0,4.0,3.0,282.0,No,0.0,Unknown,Cash or Installment,0.0,Semi Finished,6th of October,Standard,Very Large,3900.709219858156,0,1
Apartment,550000.0,2.0,1.0,85.0,No,2.0,Unknown,Installment,0.0,Finished,Borg al-Arab,Standard,Small,6470.588235294118,0,1
Apartment,1000000.0,2.0,1.0,100.0,No,9.0,Unknown,Cash,0.0,Unknown ,Nasr City,Standard,Small,10000.0,0,1
